pitches,player_id,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,player
34090,519144,34090,100,0.275,0.156,0.31,0.431,0.325,0.323,0.259,2314,8428,88.3,13.4,2380.0,87.5,86.2,2942,16053,17971,Rick Porcello
33573,461829,33573,100,0.24,0.129,0.297,0.368,0.304,0.314,0.244,1767,7376,87.4,9.6,2205.0,87.6,85.63,3465,14606,18919,Gio González
32839,457918,32839,100,0.252,0.169,0.292,0.421,0.321,0.317,0.25,1851,7342,88.5,13.0,2216.0,88.8,88.86,3164,15210,17587,J.A. Happ
32554,500779,32554,100,0.256,0.143,0.305,0.399,0.309,0.315,0.256,1921,7506,88.1,11.7,1992.0,87.5,87.34,3128,14681,17810,Jose Quintana
32542,543037,32542,100,0.224,0.144,0.293,0.368,0.282,0.284,0.222,1688,7526,88.4,12.6,2390.0,92.5,92.16,4438,15792,16725,Gerrit Cole
31979,434671,31979,100,0.252,0.156,0.299,0.408,0.314,0.315,0.247,1878,7442,87.2,15.1,2092.0,87.5,86.78,3501,14954,16915,Aníbal Sánchez
31905,453178,31905,100,0.25,0.182,0.292,0.432,0.324,0.333,0.25,1806,7224,89.5,18.1,2309.0,88.1,89.16,3368,15022,16819,Ian Kennedy
31626,429722,31626,100,0.25,0.164,0.282,0.414,0.315,0.33,0.258,1913,7654,87.9,15.1,2150.0,89.1,88.15,3235,14580,16917,Ervin Santana
31364,519242,31364,100,0.22,0.135,0.299,0.355,0.276,0.27,0.21,1614,7326,86.9,12.9,2260.0,88.1,87.25,4382,14941,16375,Chris Sale
30732,434622,30732,100,0.25,0.143,0.304,0.393,0.322,0.327,0.255,1700,6804,88.2,10.6,2024.0,89.6,86.71,2801,13051,17555,Ubaldo Jiménez
30328,502043,30328,100,0.266,0.152,0.306,0.417,0.325,0.33,0.265,1894,7128,88.2,7.5,2158.0,88.3,88.72,3373,13816,16488,Kyle Gibson
30315,571578,30315,100,0.271,0.171,0.321,0.443,0.331,0.339,0.272,2012,7415,89.3,9.0,2176.0,87.2,87.36,3608,14430,15869,Patrick Corbin
29791,451596,29791,100,0.255,0.149,0.3,0.404,0.32,0.341,0.272,1693,6637,88.3,11.2,2164.0,88.6,87.7,2497,12348,17368,Yovani Gallardo
29080,489119,29080,100,0.262,0.15,0.301,0.413,0.321,0.325,0.26,1782,6790,86.9,7.9,2164.0,87.1,85.69,2784,13136,15921,Wade Miley
28823,450308,28823,100,0.242,0.161,0.272,0.403,0.304,0.339,0.266,1651,6829,87.4,18.9,2147.0,82.8,77.62,2883,12997,15749,Jered Weaver
28609,592332,28609,100,0.254,0.158,0.313,0.411,0.31,0.315,0.25,1679,6621,88.4,12.4,2059.0,90.4,90.22,3837,14249,14349,Kevin Gausman
28369,429719,28369,100,0.272,0.176,0.308,0.448,0.34,0.357,0.271,1808,6647,88.6,14.3,2249.0,91.0,89.85,2997,13308,14922,Edwin Jackson
28206,285079,28206,100,0.251,0.159,0.278,0.409,0.316,0.327,0.261,1721,6867,87.0,11.7,1715.0,77.6,75.86,2820,13407,14738,R.A. Dickey
28137,434538,28137,100,0.244,0.138,0.301,0.382,0.316,0.321,0.241,1559,6382,86.9,7.7,2025.0,89.3,88.87,3611,12507,15592,Francisco Liriano
28119,506433,28119,100,0.221,0.158,0.283,0.38,0.291,0.294,0.225,1430,6466,87.8,14.4,2528.0,88.0,88.25,3666,13198,14900,Yu Darvish
27867,407793,27867,100,0.26,0.154,0.299,0.414,0.318,0.317,0.252,1771,6816,88.4,12.8,2165.0,88.1,87.88,2742,13249,14554,John Lackey
27860,543243,27860,100,0.23,0.13,0.284,0.359,0.289,0.301,0.238,1506,6560,88.1,8.2,2508.0,88.8,88.7,3099,12444,15404,Sonny Gray
27686,445060,27686,100,0.275,0.168,0.316,0.443,0.328,0.341,0.276,1865,6780,89.0,12.7,2064.0,85.6,83.61,2854,13102,14439,Ricky Nolasco
27559,502190,27559,100,0.273,0.166,0.299,0.439,0.325,0.336,0.284,1946,7131,89.1,7.9,2132.0,87.1,85.13,2201,12914,14553,Mike Leake
27525,434628,27525,100,0.269,0.162,0.306,0.43,0.328,0.338,0.27,1778,6617,88.8,14.4,2202.0,88.8,88.39,2672,12874,14542,Jason Hammel
27325,572971,27325,100,0.262,0.142,0.3,0.404,0.315,0.313,0.258,1720,6577,87.3,3.3,2014.0,85.3,84.86,2674,12111,15183,Dallas Keuchel
27106,430912,27106,100,0.242,0.15,0.278,0.392,0.304,0.364,0.29,1535,6354,88.7,14.3,2394.0,88.2,84.43,2616,12754,14227,Matt Cain
27069,453562,27069,100,0.238,0.146,0.283,0.384,0.303,0.306,0.242,1486,6235,87.5,7.5,2283.0,90.2,89.73,2549,12065,14956,Jake Arrieta
26546,502188,26546,100,0.249,0.164,0.291,0.414,0.312,0.319,0.255,1563,6274,88.1,14.3,2375.0,90.8,89.75,2873,12774,13692,Jeff Samardzija
26434,543135,26434,100,0.256,0.148,0.303,0.404,0.31,0.306,0.248,1610,6278,88.8,9.1,2046.0,91.0,90.73,3022,13080,13301,Nathan Eovaldi
26366,453311,26366,100,0.238,0.131,0.305,0.37,0.303,0.36,0.281,1418,5946,90.3,11.5,1886.0,87.4,83.43,3152,11890,14369,Tim Lincecum
26198,150359,26198,100,0.255,0.142,0.309,0.398,0.324,0.323,0.261,1569,6145,89.6,5.2,1983.0,89.6,88.31,2596,11488,14624,A.J. Burnett
26043,490063,26043,100,0.252,0.149,0.289,0.401,0.314,0.328,0.269,1549,6157,87.7,11.0,1982.0,89.8,88.71,2474,12292,13679,Matt Garza
26031,471911,26031,100,0.256,0.167,0.314,0.423,0.316,0.306,0.243,1623,6336,89.0,9.2,2184.0,89.8,89.73,3537,12946,13042,Carlos Carrasco
25979,554430,25979,100,0.23,0.122,0.291,0.352,0.282,0.281,0.227,1384,6016,86.0,11.0,2365.0,92.3,93.74,3222,12824,13140,Zack Wheeler
25951,429717,25951,100,0.251,0.163,0.29,0.414,0.305,0.312,0.249,1578,6290,87.8,20.3,2142.0,86.5,82.2,2544,12152,13692,Dan Haren
25834,605400,25834,100,0.232,0.15,0.293,0.383,0.289,0.286,0.229,1436,6188,87.8,10.5,2187.0,86.7,87.19,3232,12218,13603,Aaron Nola
25732,446372,25732,100,0.24,0.146,0.302,0.386,0.294,0.29,0.232,1531,6380,86.8,13.2,2353.0,88.9,88.44,3381,12458,13247,Corey Kluber
25541,450172,25541,100,0.251,0.142,0.298,0.393,0.324,0.341,0.265,1423,5666,88.4,9.0,2135.0,88.4,88.8,2603,11111,14326,Edinson Volquez
25452,519455,25452,100,0.267,0.16,0.305,0.427,0.318,0.338,0.274,1683,6310,88.5,14.7,2320.0,89.9,88.29,2410,12564,12860,Jordan Zimmermann
25426,279824,25426,100,0.279,0.146,0.301,0.425,0.324,0.335,0.285,1801,6453,86.7,11.4,1927.0,82.1,80.6,1764,11723,13627,Mark Buehrle
25332,425386,25332,100,0.273,0.174,0.287,0.447,0.337,0.375,0.304,1666,6101,88.5,15.0,2046.0,88.9,86.93,1776,11513,13759,Jeremy Guthrie
25158,543475,25158,100,0.273,0.189,0.301,0.462,0.342,0.333,0.261,1626,5947,88.4,13.9,2231.0,87.9,88.35,2385,11717,13403,Jordan Lyles
25090,527048,25090,100,0.28,0.15,0.313,0.429,0.335,0.337,0.272,1714,6124,87.7,8.8,2034.0,88.9,88.24,2242,11578,13500,Martín Pérez
25055,502239,25055,100,0.255,0.151,0.29,0.406,0.324,0.323,0.247,1454,5702,87.8,6.3,2180.0,86.9,86.3,2336,10539,14465,Trevor Cahill
24987,543294,24987,100,0.25,0.149,0.287,0.399,0.301,0.307,0.253,1537,6148,85.9,10.7,2099.0,84.0,83.2,2484,11472,13492,Kyle Hendricks
24881,502706,24881,100,0.263,0.184,0.298,0.447,0.336,0.348,0.263,1526,5800,89.0,14.1,2202.0,88.6,86.39,2381,11386,13475,Derek Holland
24604,450306,24604,100,0.26,0.162,0.285,0.422,0.32,0.325,0.252,1537,5908,87.0,15.0,2275.0,83.6,80.74,2314,11000,13549,Jason Vargas
