Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
Ildemaro Vargas,CHC,INF/OF,09/19/20,Strained hamstring,Active roster,09/20/20,09/30/20,09/30/20,Activated
Nolan Arenado,COL,3B,09/19/20,Shoulder discomfort,10-Day IL,09/20/20,09/30/20,09/28/20,Out for 2020 season
Kevin Newman,PIT,INF,09/19/20,Knee contusion,10-Day IL,09/20/20,09/30/20,09/28/20,Out for 2020 season
Dillon Tate,BAL,RP,09/20/20,Sprained finger,10-Day IL,09/21/20,10/01/20,09/28/20,Out for 2020 season
Tyler Thornburg,CIN,RP,09/20/20,Tommy John surgery,45-Day IL,09/11/20,10/26/20,09/28/20,Out for 2020 season
Mickey Moniak,PHI,RP,09/20/20,Strained elbow,10-Day IL,09/21/20,10/01/20,09/28/20,No timetable for return
Chadwick Tromp,SFG,C,09/20/20,Strained shoulder,10-Day IL,09/21/20,10/01/20,09/28/20,Out for 2020 season
James Bourque,WSN,RP,09/20/20,Strained elbow,10-Day IL,09/21/20,10/01/20,09/28/20,Out for 2020 season
Dylan Moore,SEA,INF/OF,09/21/20,Concussion,7-Day IL,09/22/20,09/29/20,09/28/20,Out for 2020 season
Carter Kieboom,WSN,3B,09/21/20,Wrist contusion,10-Day IL,09/22/20,10/02/20,09/28/20,Out for 2020 season
Bubba Starling,KCR,OF,09/22/20,Lower back spasms,10-Day IL,09/23/20,10/03/20,09/28/20,Out for 2020 season
Kyle Zimmer,KCR,RP,09/22/20,Elbow ulnar neuritis,45-Day IL,09/23/20,11/07/20,09/28/20,Out for 2020 season
Franklin Barreto,LAA,INF,09/22/20,Shoulder surgery,10-Day IL,09/07/20,09/17/20,09/28/20,Out for 2020 season
Jake Fraley,SEA,OF,09/22/20,Strained quad,10-Day IL,09/23/20,10/03/20,09/28/20,Out for 2020 season
Shed Long Jr.,SEA,INF,09/22/20,Shin surgery (stress fracture),10-Day IL,09/10/20,09/20/20,09/28/20,No timetable for return
Luis Alexander Basabe,SFG,OF,09/22/20,Strained hamstring,10-Day IL,09/23/20,10/03/20,09/28/20,No timetable for return
Evan Phillips,BAL,RP,09/23/20,Elbow inflammation,Outrighted,09/22/20,10/02/20,09/30/20,Activated
Caleb Ferguson,LAD,RP,09/23/20,Tommy John surgery,10-Day IL,09/16/20,09/26/20,09/28/20,Out for 2020 season
Josh A. Smith,MIA,RP,09/23/20,Cracked fingernail,10-Day IL,09/24/20,10/04/20,09/28/20,No timetable for return
Michael Conforto,NYM,OF,09/23/20,Strained hamstring,10-Day IL,09/24/20,10/04/20,09/28/20,Out for 2020 season
Carlos Martinez,STL,SP,09/23/20,Strained oblique,10-Day IL,09/24/20,10/04/20,09/28/20,No timetable for return
Domingo Tapia,BOS,RP,09/24/20,Biceps contusion,10-Day IL,09/25/20,10/05/20,09/28/20,Out for 2020 season
Jeimer Candelario,DET,1B,09/24/20,Strained lower back,10-Day IL,09/25/20,10/05/20,09/28/20,Out for 2020 season
Greg Holland,KCR,RP,09/24/20,Strained oblique,10-Day IL,09/22/20,10/02/20,09/28/20,Out for 2020 season
Jorge Soler,KCR,OF,09/24/20,Strained oblique,10-Day IL,09/25/20,10/05/20,09/28/20,Out for 2020 season
Corbin Burnes,MIL,SP,09/24/20,Strained oblique,10-Day IL,09/25/20,10/05/20,09/28/20,No timetable for return
J.B. Wendelken,OAK,RP,09/24/20,Undisclosed,Active roster,09/24/20,,09/28/20,Activated
Sherten Apostel,TEX,3B/1B,09/24/20,Lower back tightness,10-Day IL,09/25/20,10/05/20,09/28/20,Out for 2020 season
Josh James,HOU,RP,09/25/20,Undisclosed,10-Day IL,09/25/20,,09/28/20,No timetable for return
Luis Rengifo,LAA,INF,09/25/20,Strained hamstring,10-Day IL,09/26/20,10/06/20,09/28/20,Out for 2020 season
Sam Coonrod,SFG,RP,09/25/20,Strained shoulder,10-Day IL,09/26/20,10/06/20,09/28/20,No timetable for return
Austin Dean,STL,RP,09/25/20,Strained groin,10-Day IL,09/26/20,10/06/20,09/28/20,No timetable for return
Willi Castro,DET,SS,09/26/20,Shoulder soreness,10-Day IL,09/27/20,10/07/20,09/28/20,Out for 2020 season
Erasmo Ramírez,NYM,RP,09/26/20,Strained groin,10-Day IL,09/27/20,10/07/20,09/28/20,Out for 2020 season
Andrés Giménez,NYM,INF,09/26/20,Strained oblique,10-Day IL,09/27/20,10/07/20,09/28/20,Out for 2020 season
Jacob Stallings,PIT,C,09/26/20,Concussion,7-Day IL,09/27/20,10/04/20,09/28/20,Out for 2020 season
Luis Torrens,SEA,C,09/26/20,Back spasms,10-Day IL,09/27/20,10/07/20,09/28/20,Out for 2020 season
Dakota Hudson,STL,SP,09/28/20,Tommy John surgery,45-Day IL,09/18/20,11/02/20,09/28/20,Out for 2020 season
David Dahl,COL,OF,09/29/20,Shoulder surgery,45-Day IL,09/21/20,11/05/20,09/28/20,Out for 2020 season
Bryan Abreu,HOU,RP,09/29/20,Undisclosed,45-Day IL,09/29/20,11/13/20,09/28/20,Out for 2020 season
Justin Verlander,HOU,SP,09/30/20,Tommy John surgery,10-Day IL,07/25/20,08/04/20,09/28/20,Out for 2020 season
Ken Giles,TOR,RP,09/30/20,Tommy John surgery,10-Day IL,09/16/20,09/26/20,09/28/20,Out for 2020 season
Brad Peacock,HOU,RP,10/06/20,Arthroscopic shoulder surgery,10-Day IL,09/15/20,09/25/20,09/28/20,No timetable for return
