playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
pavanca01,2003,NLDS1,FLO,NL,2,0,3,0,0,0,0,8,1,0,0,1,1,0.111,0.0,1.0,0.0,1.0,0.0,11.0,0,0,0.0,0.0,0.0
pavanca01,2003,WS,FLO,NL,0,0,2,1,0,0,0,27,8,1,0,1,6,0.25,1.0,0.0,0.0,0.0,0.0,34.0,0,1,0.0,1.0,2.0
pavanca01,2009,ALDS1,MIN,AL,0,1,1,1,0,0,0,21,5,2,2,0,9,0.2,2.57,0.0,0.0,0.0,0.0,25.0,0,2,0.0,0.0,1.0
pavanca01,2010,ALDS2,MIN,AL,0,1,1,1,0,0,0,18,10,4,1,1,3,0.385,6.0,0.0,0.0,0.0,0.0,28.0,0,4,0.0,1.0,1.0
pavliro01,1996,ALDS2,TEX,AL,0,1,1,0,0,0,0,8,4,2,1,0,1,0.364,6.75,0.0,0.0,0.0,0.0,12.0,0,2,1.0,0.0,0.0
paxtoja01,2019,ALCS,NYA,AL,1,0,2,2,0,0,0,25,8,2,0,6,12,0.25,2.16,0.0,1.0,0.0,0.0,38.0,0,2,0.0,0.0,1.0
paxtoja01,2019,ALDS2,NYA,AL,0,0,1,1,0,0,0,14,5,3,2,1,8,0.263,5.79,0.0,0.0,0.0,0.0,20.0,0,3,0.0,0.0,1.0
payamjo01,2023,NLWC1,MIL,NL,0,0,1,0,0,0,0,5,1,0,0,1,2,0.2,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0.0,0.0,0.0
peacobr01,2017,ALCS,HOU,AL,0,0,2,0,0,0,0,7,3,2,2,0,4,0.3,7.71,0.0,0.0,0.0,0.0,10.0,0,2,0.0,0.0,0.0
peacobr01,2017,ALDS2,HOU,AL,0,0,1,1,0,0,0,8,6,3,0,1,4,0.429,10.12,0.0,0.0,0.0,0.0,15.0,0,3,0.0,0.0,0.0
peacobr01,2017,WS,HOU,AL,0,0,4,0,0,0,1,22,4,2,0,3,8,0.154,2.45,0.0,1.0,1.0,0.0,30.0,1,2,0.0,0.0,0.0
peacobr01,2019,ALCS,HOU,AL,0,0,2,1,0,0,0,8,2,1,0,1,3,0.2,3.38,0.0,0.0,0.0,0.0,11.0,1,1,0.0,0.0,0.0
peacobr01,2019,WS,HOU,AL,0,0,3,0,0,0,0,9,1,1,0,3,4,0.091,3.0,0.0,0.0,0.0,0.0,14.0,0,1,0.0,0.0,0.0
pearsmo01,1936,WS,NYA,AL,1,0,1,1,1,0,0,27,7,2,0,2,7,0.212,2.0,0.0,0.0,0.0,0.0,35.0,0,2,0.0,0.0,0.0
pearsmo01,1937,WS,NYA,AL,1,0,1,1,0,0,0,26,5,1,0,2,4,0.161,1.04,0.0,0.0,0.0,0.0,33.0,0,1,0.0,0.0,0.0
pearsmo01,1938,WS,NYA,AL,1,0,1,1,1,0,0,27,5,1,1,2,9,0.147,1.0,0.0,0.0,0.0,0.0,36.0,0,2,0.0,0.0,0.0
pearsmo01,1939,WS,NYA,AL,1,0,1,1,1,1,0,27,2,0,0,1,8,0.071,0.0,0.0,0.0,0.0,0.0,29.0,0,0,0.0,0.0,0.0
pearsna01,2020,ALWC1,TOR,AL,0,0,1,0,0,0,0,6,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0.0,0.0,0.0
peavyja01,2005,NLDS1,SDN,NL,0,1,1,1,0,0,0,13,8,8,2,3,3,0.4,16.62,2.0,1.0,0.0,0.0,23.0,0,8,0.0,0.0,1.0
peavyja01,2006,NLDS2,SDN,NL,0,1,1,1,0,0,0,16,11,5,1,1,2,0.478,8.44,1.0,0.0,0.0,0.0,26.0,0,5,1.0,1.0,1.0
peavyja01,2013,ALCS,BOS,AL,0,1,1,1,0,0,0,9,5,7,0,3,1,0.357,21.0,0.0,0.0,0.0,0.0,17.0,0,7,0.0,0.0,0.0
peavyja01,2013,ALDS1,BOS,AL,0,0,1,1,0,0,0,17,5,1,0,0,3,0.25,1.59,0.0,0.0,0.0,0.0,20.0,0,1,0.0,0.0,2.0
peavyja01,2013,WS,BOS,AL,0,0,1,1,0,0,0,12,6,2,0,1,4,0.353,4.5,0.0,0.0,0.0,0.0,19.0,0,2,1.0,0.0,0.0
peavyja01,2014,NLCS,SFN,NL,0,0,1,1,0,0,0,12,4,2,1,3,2,0.267,4.5,1.0,0.0,0.0,0.0,19.0,0,2,1.0,0.0,0.0
peavyja01,2014,NLDS1,SFN,NL,1,0,1,1,0,0,0,17,2,0,0,3,3,0.111,0.0,0.0,0.0,0.0,0.0,21.0,0,0,0.0,0.0,1.0
peavyja01,2014,WS,SFN,NL,0,2,2,2,0,0,0,19,12,9,0,3,3,0.4,12.79,0.0,0.0,0.0,0.0,33.0,0,9,0.0,0.0,0.0
pegueel01,2023,NLWC1,MIL,NL,0,0,2,0,0,0,0,5,1,0,0,0,2,0.167,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0.0,0.0,0.0
penaal01,1981,NLCS,LAN,NL,0,0,2,0,0,0,0,7,1,0,0,0,0,0.125,0.0,0.0,0.0,0.0,0.0,8.0,1,0,0.0,0.0,0.0
penaal01,1983,NLCS,LAN,NL,0,0,1,0,0,0,0,8,4,2,1,1,3,0.4,6.75,0.0,2.0,0.0,0.0,12.0,0,2,0.0,1.0,0.0
