,Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
471,Matt Magill,SEA,RP,09/15/20,Arthroscopic shoulder surgery,45-Day IL,08/28/20,10/12/20,09/28/20,Out for 2020 season
472,Derek Fisher,TOR,OF,09/15/20,Knee contusion,10-Day IL,09/16/20,09/26/20,09/28/20,No timetable for return
473,Cole Hamels,ATL,SP,09/16/20,Shoulder fatigue,45-Day IL,09/18/20,11/02/20,09/28/20,Out for 2020 season
474,Rowan Wick,CHC,RP,09/16/20,Strained oblique,10-Day IL,09/17/20,09/27/20,09/28/20,No timetable for return
475,Jake Odorizzi,MIN,SP,09/16/20,Blister on finger,Active roster,09/17/20,09/27/20,09/28/20,Activated
476,A.J. Puk,OAK,SP,09/16/20,Shoulder surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
477,Cole Tucker,PIT,INF/OF,09/16/20,Concussion,7-Day IL,09/17/20,09/24/20,09/28/20,Out for 2020 season
478,Jacob Waguespack,TOR,SP,09/16/20,Strained back,10-Day IL,09/17/20,09/27/20,09/28/20,No timetable for return
479,Adam Eaton,WSN,OF,09/16/20,Fractured finger,10-Day IL,09/17/20,09/27/20,09/28/20,Out for 2020 season
480,Yairo Muñoz,BOS,INF/OF,09/17/20,Strained lower back,10-Day IL,09/18/20,09/28/20,09/28/20,Out for 2020 season
481,Austin Meadows,TBR,OF,09/17/20,Strained oblique,Active roster,09/18/20,09/28/20,10/05/20,Activated
482,Julian Merryweather,TOR,RP,09/17/20,Elbow tendinitis,10-Day IL,09/18/20,09/28/20,09/28/20,No timetable for return
483,Ben Gamel,MIL,OF,09/18/20,Strained quad,Active roster,09/19/20,09/29/20,09/30/20,Activated
484,Jake Marisnick,NYM,OF,09/18/20,Strained hamstring,10-Day IL,09/19/20,09/29/20,09/28/20,Out for 2020 season
485,Jason Martin,PIT,OF,09/18/20,Strained back,10-Day IL,09/19/20,09/29/20,09/28/20,Out for 2020 season
486,Aaron Barrett,WSN,RP,09/18/20,Strained triceps,10-Day IL,09/19/20,09/29/20,09/28/20,Out for 2020 season
487,Ildemaro Vargas,CHC,INF/OF,09/19/20,Strained hamstring,Active roster,09/20/20,09/30/20,09/30/20,Activated
488,Nolan Arenado,COL,3B,09/19/20,Shoulder discomfort,10-Day IL,09/20/20,09/30/20,09/28/20,Out for 2020 season
489,Kevin Newman,PIT,INF,09/19/20,Knee contusion,10-Day IL,09/20/20,09/30/20,09/28/20,Out for 2020 season
490,Dillon Tate,BAL,RP,09/20/20,Sprained finger,10-Day IL,09/21/20,10/01/20,09/28/20,Out for 2020 season
491,Tyler Thornburg,CIN,RP,09/20/20,Tommy John surgery,45-Day IL,09/11/20,10/26/20,09/28/20,Out for 2020 season
492,Mickey Moniak,PHI,RP,09/20/20,Strained elbow,10-Day IL,09/21/20,10/01/20,09/28/20,No timetable for return
493,Chadwick Tromp,SFG,C,09/20/20,Strained shoulder,10-Day IL,09/21/20,10/01/20,09/28/20,Out for 2020 season
494,James Bourque,WSN,RP,09/20/20,Strained elbow,10-Day IL,09/21/20,10/01/20,09/28/20,Out for 2020 season
495,Dylan Moore,SEA,INF/OF,09/21/20,Concussion,7-Day IL,09/22/20,09/29/20,09/28/20,Out for 2020 season
496,Carter Kieboom,WSN,3B,09/21/20,Wrist contusion,10-Day IL,09/22/20,10/02/20,09/28/20,Out for 2020 season
497,Bubba Starling,KCR,OF,09/22/20,Lower back spasms,10-Day IL,09/23/20,10/03/20,09/28/20,Out for 2020 season
498,Kyle Zimmer,KCR,RP,09/22/20,Elbow ulnar neuritis,45-Day IL,09/23/20,11/07/20,09/28/20,Out for 2020 season
499,Franklin Barreto,LAA,INF,09/22/20,Shoulder surgery,10-Day IL,09/07/20,09/17/20,09/28/20,Out for 2020 season
500,Jake Fraley,SEA,OF,09/22/20,Strained quad,10-Day IL,09/23/20,10/03/20,09/28/20,Out for 2020 season
501,Shed Long Jr.,SEA,INF,09/22/20,Shin surgery (stress fracture),10-Day IL,09/10/20,09/20/20,09/28/20,No timetable for return
502,Luis Alexander Basabe,SFG,OF,09/22/20,Strained hamstring,10-Day IL,09/23/20,10/03/20,09/28/20,No timetable for return
503,Evan Phillips,BAL,RP,09/23/20,Elbow inflammation,Outrighted,09/22/20,10/02/20,09/30/20,Activated
504,Caleb Ferguson,LAD,RP,09/23/20,Tommy John surgery,10-Day IL,09/16/20,09/26/20,09/28/20,Out for 2020 season
505,Josh A. Smith,MIA,RP,09/23/20,Cracked fingernail,10-Day IL,09/24/20,10/04/20,09/28/20,No timetable for return
506,Michael Conforto,NYM,OF,09/23/20,Strained hamstring,10-Day IL,09/24/20,10/04/20,09/28/20,Out for 2020 season
507,Carlos Martinez,STL,SP,09/23/20,Strained oblique,10-Day IL,09/24/20,10/04/20,09/28/20,No timetable for return
508,Domingo Tapia,BOS,RP,09/24/20,Biceps contusion,10-Day IL,09/25/20,10/05/20,09/28/20,Out for 2020 season
509,Jeimer Candelario,DET,1B,09/24/20,Strained lower back,10-Day IL,09/25/20,10/05/20,09/28/20,Out for 2020 season
510,Greg Holland,KCR,RP,09/24/20,Strained oblique,10-Day IL,09/22/20,10/02/20,09/28/20,Out for 2020 season
511,Jorge Soler,KCR,OF,09/24/20,Strained oblique,10-Day IL,09/25/20,10/05/20,09/28/20,Out for 2020 season
512,Corbin Burnes,MIL,SP,09/24/20,Strained oblique,10-Day IL,09/25/20,10/05/20,09/28/20,No timetable for return
513,J.B. Wendelken,OAK,RP,09/24/20,Undisclosed,Active roster,09/24/20,,09/28/20,Activated
514,Sherten Apostel,TEX,3B/1B,09/24/20,Lower back tightness,10-Day IL,09/25/20,10/05/20,09/28/20,Out for 2020 season
515,Josh James,HOU,RP,09/25/20,Undisclosed,10-Day IL,09/25/20,,09/28/20,No timetable for return
516,Luis Rengifo,LAA,INF,09/25/20,Strained hamstring,10-Day IL,09/26/20,10/06/20,09/28/20,Out for 2020 season
517,Sam Coonrod,SFG,RP,09/25/20,Strained shoulder,10-Day IL,09/26/20,10/06/20,09/28/20,No timetable for return
518,Austin Dean,STL,RP,09/25/20,Strained groin,10-Day IL,09/26/20,10/06/20,09/28/20,No timetable for return
519,Willi Castro,DET,SS,09/26/20,Shoulder soreness,10-Day IL,09/27/20,10/07/20,09/28/20,Out for 2020 season
520,Erasmo Ramírez,NYM,RP,09/26/20,Strained groin,10-Day IL,09/27/20,10/07/20,09/28/20,Out for 2020 season
521,Andrés Giménez,NYM,INF,09/26/20,Strained oblique,10-Day IL,09/27/20,10/07/20,09/28/20,Out for 2020 season
522,Jacob Stallings,PIT,C,09/26/20,Concussion,7-Day IL,09/27/20,10/04/20,09/28/20,Out for 2020 season
523,Luis Torrens,SEA,C,09/26/20,Back spasms,10-Day IL,09/27/20,10/07/20,09/28/20,Out for 2020 season
524,Dakota Hudson,STL,SP,09/28/20,Tommy John surgery,45-Day IL,09/18/20,11/02/20,09/28/20,Out for 2020 season
525,David Dahl,COL,OF,09/29/20,Shoulder surgery,45-Day IL,09/21/20,11/05/20,09/28/20,Out for 2020 season
526,Bryan Abreu,HOU,RP,09/29/20,Undisclosed,45-Day IL,09/29/20,11/13/20,09/28/20,Out for 2020 season
527,Justin Verlander,HOU,SP,09/30/20,Tommy John surgery,10-Day IL,07/25/20,08/04/20,09/28/20,Out for 2020 season
528,Ken Giles,TOR,RP,09/30/20,Tommy John surgery,10-Day IL,09/16/20,09/26/20,09/28/20,Out for 2020 season
529,Brad Peacock,HOU,RP,10/06/20,Arthroscopic shoulder surgery,10-Day IL,09/15/20,09/25/20,09/28/20,No timetable for return
